image_id,method,min_pairwise_de2000,wcag_aa_coverage,wcag_aaa_coverage,reconstruction_error_de2000,harmony_alignment,runtime_seconds
coco_000000005060,dsp,26.946720723607175,0.4,0.2,11.657725948830773,0.7729382367802681,0.3520171249983832
coco_000000005060,median_cut,12.824095175093593,0.3,0.1,9.578495015919113,0.5461372953785824,0.19872779200522928
coco_000000005060,kmeans_rgb,15.416550991022815,0.3,0.3,9.524357446348539,0.7093618809706848,0.08177029200305697
coco_000000005060,kmeans_lab,13.953717929167007,0.3,0.1,9.07885130251005,0.6887340209516519,0.35036862500419375
coco_000000007281,dsp,20.759754544572942,0.2,0.2,5.548386344064119,0.3437504105408763,0.29645237500517396
coco_000000007281,median_cut,2.2098189183196686,0.0,0.0,6.743537612005906,0.6540119530385173,0.14958145799755584
coco_000000007281,kmeans_rgb,5.978014416309399,0.3,0.1,5.522101914110968,0.3271455291241946,0.1086173330040765
coco_000000007281,kmeans_lab,16.771124071731215,0.2,0.1,4.882047853632916,0.32872034507881537,0.3240667920035776
coco_000000008277,dsp,23.679087771533684,0.3,0.2,9.5994466092495,0.6325374164256019,0.39568424999743
coco_000000008277,median_cut,7.151739936258245,0.3,0.1,7.829275783191452,0.05894072256406204,0.23972304099879693
coco_000000008277,kmeans_rgb,13.724682898335747,0.3,0.1,6.926830042526986,0.12915874321896617,0.0811349169962341
coco_000000008277,kmeans_lab,11.592274479623867,0.3,0.1,6.696109605560784,0.2961057486869566,0.3786165829951642
coco_000000021465,dsp,31.801660288453043,0.5,0.2,17.117417939477292,0.273094782977846,0.2559717499971157
coco_000000021465,median_cut,17.821473278874134,0.4,0.1,11.5562590461678,0.4430194264190441,0.10234770799434045
coco_000000021465,kmeans_rgb,18.358372157870765,0.3,0.1,10.719438432461406,0.42285689600365,0.043558707999181934
coco_000000021465,kmeans_lab,20.24908048906631,0.2,0.1,10.826031830740508,0.4591548053075911,0.32056166700203903
coco_000000028449,dsp,21.158296095313403,0.4,0.2,9.224192569291366,0.447325250891875,0.3294796249974752
coco_000000028449,median_cut,9.873988833305182,0.3,0.1,7.846546926322557,0.4034726831621091,0.17702404099691194
coco_000000028449,kmeans_rgb,10.990915702481285,0.3,0.1,7.587818510782408,0.5635172349840388,0.06403700000373647
coco_000000028449,kmeans_lab,15.52965279152594,0.2,0.0,6.854634947303728,0.6154413785308319,0.36624029100494226
coco_000000033854,dsp,23.682587331056084,0.4,0.2,7.9217537644012985,0.29889860980321237,0.3401642919998267
coco_000000033854,median_cut,10.575013231744157,0.5,0.4,6.360773296451305,0.3434318509757601,0.18416829199850326
coco_000000033854,kmeans_rgb,11.363752333214354,0.5,0.3,6.207920613588401,0.3845093358998991,0.11358758400456281
coco_000000033854,kmeans_lab,16.52118916204419,0.4,0.3,6.280991630293323,0.38820321023356197,0.3788385419975384
coco_000000035279,dsp,31.165723975968444,0.4,0.2,10.395826544707663,0.3910839928220015,0.3736688330027391
coco_000000035279,median_cut,10.177563380762775,0.6,0.4,6.704617959996507,0.5895938388531871,0.2009035840019351
coco_000000035279,kmeans_rgb,14.497850849122992,0.4,0.3,6.073212323814065,0.580535284332569,0.06511316699470626
coco_000000035279,kmeans_lab,20.604230320618946,0.4,0.2,6.239120646522458,0.6416011145466853,0.3680291249984293
coco_000000069106,dsp,17.33897118080662,0.3,0.2,8.655534954075595,0.6522912600894613,0.25740137500542914
coco_000000069106,median_cut,6.541026567237847,0.0,0.0,5.308644733035187,0.6035574367967651,0.10767391700210283
coco_000000069106,kmeans_rgb,8.219196469433296,0.1,0.0,5.27824169353148,0.5735299608356327,0.03678604199376423
coco_000000069106,kmeans_lab,7.879623630247759,0.1,0.0,5.211951599952146,0.5425931599520317,0.3627759579976555
coco_000000075393,dsp,22.226889623437227,0.3,0.2,10.457797503827567,0.5015501685820316,0.35036875000514556
coco_000000075393,median_cut,3.9343694475002517,0.4,0.3,6.124152392652467,0.3808066808432494,0.19232875000307104
coco_000000075393,kmeans_rgb,8.868659721917679,0.3,0.2,5.846870947631366,0.3496230895958406,0.07143520799581893
coco_000000075393,kmeans_lab,14.172103075389002,0.4,0.1,5.184864239343485,0.2768099220035711,0.40115991599304834
coco_000000085329,dsp,19.706650273990295,0.5,0.3,2.695107233962569,0.5612448840761415,0.3090131659992039
coco_000000085329,median_cut,0.7021735851552816,0.0,0.0,6.715815130916448,0.5925070593244035,0.16329754099569982
coco_000000085329,kmeans_rgb,12.596808311876734,0.4,0.4,2.1908594748310746,0.6617356020864474,0.1276287919972674
coco_000000085329,kmeans_lab,13.481240433671227,0.4,0.3,2.093534989857414,0.7129429229531411,0.22454454200487817
coco_000000090062,dsp,26.461636441724757,0.4,0.2,12.550038364737253,0.6859707918812598,0.3484564589962247
coco_000000090062,median_cut,10.123438286083337,0.4,0.2,7.194835256635087,0.48973670829778637,0.19623487500211922
coco_000000090062,kmeans_rgb,14.516878259943605,0.3,0.2,7.137455424674608,0.36463558092753756,0.07303549999778625
coco_000000090062,kmeans_lab,13.156844292529927,0.3,0.1,7.27433743089404,0.49175611633596394,0.3641501669990248
coco_000000101022,dsp,32.142224768898075,0.4,0.1,10.772770737965054,0.4777210440455737,0.3537422500012326
coco_000000101022,median_cut,6.772594068075454,0.3,0.3,8.96164388663629,0.6386034234998805,0.2029404999993858
coco_000000101022,kmeans_rgb,15.718576263105392,0.4,0.2,7.7934088927623035,0.6076942173980779,0.07204966600693297
coco_000000101022,kmeans_lab,17.955282205845695,0.3,0.2,7.633652128322059,0.4288657491582069,0.3963247499996214
coco_000000104666,dsp,26.295083274289958,0.4,0.2,11.225132333216322,0.49186359152277487,0.3350823750006384
coco_000000104666,median_cut,9.357241723757719,0.2,0.1,7.3553121876136345,0.4751122687373795,0.19585645800543716
coco_000000104666,kmeans_rgb,12.00251734358551,0.4,0.2,7.41101431161479,0.2078897783262846,0.05801662500016391
coco_000000104666,kmeans_lab,15.930151553561233,0.2,0.1,7.658283051676915,0.4618291597317242,0.39323158300248906
coco_000000107226,dsp,31.428104104257432,0.2,0.1,9.721313096292603,0.39756959381866935,0.3619615839998005
coco_000000107226,median_cut,9.477728713631008,0.5,0.2,11.876882416749467,0.3618533002828162,0.25540541599912103
coco_000000107226,kmeans_rgb,12.1663786210613,0.3,0.2,10.917426837349257,0.39888366822946536,0.09295858299446991
coco_000000107226,kmeans_lab,21.42951790915675,0.2,0.2,7.786427776791363,0.5458832406609694,0.3880936659988947
coco_000000117645,dsp,11.284374640381623,0.1,0.0,2.9209497970688076,0.44002400411131115,0.32142016599391354
coco_000000117645,median_cut,1.4018149545218304,0.0,0.0,2.8995405151988916,0.15995475408340581,0.16839887500100303
coco_000000117645,kmeans_rgb,3.9160392819499634,0.1,0.0,2.139686942390878,0.4290317611109639,0.07100416699540801
coco_000000117645,kmeans_lab,4.144783861453683,0.1,0.0,2.144707849794481,0.508933631160172,0.37562166700081434
coco_000000119516,dsp,26.076229565957544,0.2,0.1,9.583909575323222,0.4718816083515033,0.35108691699861083
coco_000000119516,median_cut,2.943023657084469,0.0,0.0,7.552958097884862,0.5960218029992502,0.19278812500124332
coco_000000119516,kmeans_rgb,9.512963033914803,0.4,0.2,7.499531182670329,0.5928488090815323,0.10987037499580765
coco_000000119516,kmeans_lab,11.174912197821936,0.4,0.1,6.473034374405497,0.5553748468154854,0.27158283299650066
coco_000000145020,dsp,40.02656458164039,0.4,0.0,16.823727953001544,0.5681651651752521,0.3228748329929658
coco_000000145020,median_cut,12.091129179052396,0.3,0.1,12.723056963035216,0.4041449671336399,0.1723628749969066
coco_000000145020,kmeans_rgb,19.420772366370045,0.3,0.1,11.15978813581172,0.1561016958961638,0.0475757500025793
coco_000000145020,kmeans_lab,21.46771774417367,0.2,0.1,11.113343121003032,0.46438841184847285,0.3758318749969476
coco_000000161128,dsp,26.46191291867936,0.3,0.2,8.251402676739232,0.3085452972754913,0.2856564160028938
coco_000000161128,median_cut,9.482325504577533,0.3,0.2,7.913055491281508,0.04554711819747242,0.14411591699899873
coco_000000161128,kmeans_rgb,13.105191696775414,0.4,0.2,6.248839842832179,0.4833916605096801,0.07228824999765493
coco_000000161128,kmeans_lab,12.195976126461664,0.3,0.1,6.387227720685992,0.39530629150121704,0.3369630419983878
coco_000000162543,dsp,11.44411924412949,0.2,0.2,12.857532253631186,0.6833430714877305,0.459484708000673
coco_000000162543,median_cut,6.636268050491708,0.4,0.3,8.153992644590728,0.43911691670283365,0.20302220799931092
coco_000000162543,kmeans_rgb,13.69977824492478,0.5,0.3,7.309656987170933,0.6625133647734367,0.23217962499620626
coco_000000162543,kmeans_lab,14.75742457582443,0.4,0.2,7.187349874650561,0.6483158412576098,0.4011845419954625
coco_000000166287,dsp,19.44585289565888,0.1,0.0,7.36104381413317,0.4817751314538974,0.34194454200041946
coco_000000166287,median_cut,1.7014185298686202,0.0,0.0,5.250886024599539,0.43258982010219854,0.1842952500010142
coco_000000166287,kmeans_rgb,7.859297280542685,0.1,0.0,4.232179498028917,0.392303067588929,0.06520050000108313
coco_000000166287,kmeans_lab,9.718864284776108,0.1,0.0,4.310254969562965,0.7298635730996365,0.3825765420042444
coco_000000168974,dsp,24.279983474261407,0.4,0.2,13.067987345073547,0.17013032338929113,0.2752710830027354
coco_000000168974,median_cut,5.586392076029658,0.1,0.0,7.675906955127611,0.06656203893601158,0.12419287499506027
coco_000000168974,kmeans_rgb,8.175298047493664,0.2,0.1,7.110724663767451,0.08633720225717317,0.0429899589944398
coco_000000168974,kmeans_lab,12.672425530938527,0.2,0.1,6.754514428792828,0.3394324337428466,0.3454647920007119
coco_000000169169,dsp,29.622294112975577,0.4,0.2,14.269203422771357,0.5014590067671765,0.407486832998984
coco_000000169169,median_cut,14.294982541115184,0.3,0.2,13.472385402849838,0.5894628602132923,0.22474970799521543
coco_000000169169,kmeans_rgb,18.643666031244617,0.3,0.1,11.571541300632159,0.5855539972094795,0.09795637500064913
coco_000000169169,kmeans_lab,18.500324000972228,0.2,0.2,10.947089044885377,0.4188855264224804,0.33906958300212864
coco_000000184400,dsp,25.864203879853005,0.2,0.1,8.498115478216612,0.4276184522909647,0.3894754590000957
coco_000000184400,median_cut,5.394828085678706,0.3,0.1,7.225523962298502,0.5515475175881702,0.2219373329935479
coco_000000184400,kmeans_rgb,10.579793188817309,0.1,0.1,6.0657414378163494,0.45032543959285076,0.11033020900504198
coco_000000184400,kmeans_lab,8.389049660498248,0.3,0.0,6.800668003872489,0.41148847772748925,0.3704165000017383
coco_000000186632,dsp,25.007102081319584,0.3,0.2,10.3797965052456,0.30302047274079336,0.35444416699465364
coco_000000186632,median_cut,11.79617502586467,0.4,0.2,6.311500024237456,0.38794434625541663,0.19283345800067764
coco_000000186632,kmeans_rgb,12.081665581728103,0.3,0.2,6.331107046555386,0.391551430303131,0.06859524999890709
coco_000000186632,kmeans_lab,13.4041956307206,0.4,0.2,6.5222620745408015,0.4471453561960869,0.3825802499995916
coco_000000187249,dsp,28.968356620491747,0.5,0.3,10.058994135983292,0.352330993828832,0.3691645829967456
