source,subset,image_id,method,n_colours,n_pairs,buggy_aa,correct_aa,aa_delta,delta_pairs_aa,aa_changed,direction,buggy_aaa,correct_aaa,aaa_delta,aaa_changed,max1_colours
raw,photographs,coco_000000553339,dsp,5,10,0.3,0.3,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs,coco_000000553339,median_cut,5,10,0.5,0.5,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs,coco_000000553339,kmeans_rgb,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs,coco_000000553339,kmeans_lab,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs,coco_000000554735,dsp,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs,coco_000000554735,median_cut,5,10,0.0,0.0,0.0,0,False,unchanged,0.0,0.0,0.0,False,
raw,photographs,coco_000000554735,kmeans_rgb,5,10,0.1,0.1,0.0,0,False,unchanged,0.0,0.0,0.0,False,
raw,photographs,coco_000000554735,kmeans_lab,5,10,0.1,0.1,0.0,0,False,unchanged,0.0,0.0,0.0,False,
raw,photographs,coco_000000575372,dsp,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs,coco_000000575372,median_cut,5,10,0.2,0.2,0.0,0,False,unchanged,0.0,0.0,0.0,False,
raw,photographs,coco_000000575372,kmeans_rgb,5,10,0.1,0.1,0.0,0,False,unchanged,0.0,0.0,0.0,False,
raw,photographs,coco_000000575372,kmeans_lab,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000007856,dsp,5,10,0.4,0.4,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs_train,coco_train_000000007856,median_cut,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs_train,coco_train_000000007856,kmeans_rgb,5,10,0.4,0.4,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000007856,kmeans_lab,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000015329,dsp,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000015329,median_cut,5,10,0.0,0.0,0.0,0,False,unchanged,0.0,0.0,0.0,False,
raw,photographs_train,coco_train_000000015329,kmeans_rgb,5,10,0.2,0.2,0.0,0,False,unchanged,0.0,0.0,0.0,False,
raw,photographs_train,coco_train_000000015329,kmeans_lab,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000048199,dsp,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000048199,median_cut,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000048199,kmeans_rgb,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000048199,kmeans_lab,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000108101,dsp,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000108101,median_cut,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs_train,coco_train_000000108101,kmeans_rgb,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000108101,kmeans_lab,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000113412,dsp,5,10,0.5,0.5,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs_train,coco_train_000000113412,median_cut,5,10,0.5,0.5,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs_train,coco_train_000000113412,kmeans_rgb,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs_train,coco_train_000000113412,kmeans_lab,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs_train,coco_train_000000122527,dsp,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000122527,median_cut,5,10,0.6,0.6,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs_train,coco_train_000000122527,kmeans_rgb,5,10,0.4,0.4,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs_train,coco_train_000000122527,kmeans_lab,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs_train,coco_train_000000171970,dsp,5,10,0.1,0.1,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000171970,median_cut,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs_train,coco_train_000000171970,kmeans_rgb,5,10,0.1,0.1,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000171970,kmeans_lab,5,10,0.1,0.1,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000175231,dsp,5,10,0.3,0.3,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs_train,coco_train_000000175231,median_cut,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs_train,coco_train_000000175231,kmeans_rgb,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000175231,kmeans_lab,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000225543,dsp,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs_train,coco_train_000000225543,median_cut,5,10,0.3,0.3,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs_train,coco_train_000000225543,kmeans_rgb,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs_train,coco_train_000000225543,kmeans_lab,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs_train,coco_train_000000267885,dsp,5,10,0.4,0.4,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs_train,coco_train_000000267885,median_cut,5,10,0.5,0.5,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs_train,coco_train_000000267885,kmeans_rgb,5,10,0.4,0.4,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs_train,coco_train_000000267885,kmeans_lab,5,10,0.2,0.2,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs_train,coco_train_000000269934,dsp,5,10,0.3,0.3,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs_train,coco_train_000000269934,median_cut,5,10,0.0,0.0,0.0,0,False,unchanged,0.0,0.0,0.0,False,
raw,photographs_train,coco_train_000000269934,kmeans_rgb,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000269934,kmeans_lab,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000310042,dsp,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs_train,coco_train_000000310042,median_cut,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs_train,coco_train_000000310042,kmeans_rgb,5,10,0.3,0.3,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs_train,coco_train_000000310042,kmeans_lab,5,10,0.5,0.5,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs_train,coco_train_000000317120,dsp,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs_train,coco_train_000000317120,median_cut,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000317120,kmeans_rgb,5,10,0.1,0.1,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000317120,kmeans_lab,5,10,0.2,0.2,0.0,0,False,unchanged,0.0,0.0,0.0,False,
raw,photographs_train,coco_train_000000320471,dsp,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000320471,median_cut,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000320471,kmeans_rgb,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000320471,kmeans_lab,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000358307,dsp,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000358307,median_cut,5,10,0.3,0.3,0.0,0,False,unchanged,0.0,0.0,0.0,False,
raw,photographs_train,coco_train_000000358307,kmeans_rgb,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000358307,kmeans_lab,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000371863,dsp,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs_train,coco_train_000000371863,median_cut,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs_train,coco_train_000000371863,kmeans_rgb,5,10,0.4,0.4,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs_train,coco_train_000000371863,kmeans_lab,5,10,0.4,0.4,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs_train,coco_train_000000395678,dsp,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000395678,median_cut,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs_train,coco_train_000000395678,kmeans_rgb,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs_train,coco_train_000000395678,kmeans_lab,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs_train,coco_train_000000404943,dsp,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000404943,median_cut,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000404943,kmeans_rgb,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000404943,kmeans_lab,5,10,0.1,0.1,0.0,0,False,unchanged,0.0,0.0,0.0,False,
raw,photographs_train,coco_train_000000481895,dsp,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000481895,median_cut,5,10,0.0,0.0,0.0,0,False,unchanged,0.0,0.0,0.0,False,
raw,photographs_train,coco_train_000000481895,kmeans_rgb,5,10,0.1,0.1,0.0,0,False,unchanged,0.0,0.0,0.0,False,
raw,photographs_train,coco_train_000000481895,kmeans_lab,5,10,0.1,0.1,0.0,0,False,unchanged,0.0,0.0,0.0,False,
raw,photographs_train,coco_train_000000486066,dsp,5,10,0.4,0.4,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000486066,median_cut,5,10,0.5,0.5,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs_train,coco_train_000000486066,kmeans_rgb,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs_train,coco_train_000000486066,kmeans_lab,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000499054,dsp,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000499054,median_cut,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs_train,coco_train_000000499054,kmeans_rgb,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000499054,kmeans_lab,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000507769,dsp,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000507769,median_cut,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs_train,coco_train_000000507769,kmeans_rgb,5,10,0.2,0.2,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs_train,coco_train_000000507769,kmeans_lab,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000508771,dsp,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000508771,median_cut,5,10,0.0,0.0,0.0,0,False,unchanged,0.0,0.0,0.0,False,
raw,photographs_train,coco_train_000000508771,kmeans_rgb,5,10,0.1,0.1,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000508771,kmeans_lab,5,10,0.2,0.2,0.0,0,False,unchanged,0.0,0.0,0.0,False,
raw,photographs_train,coco_train_000000555535,dsp,5,10,0.2,0.2,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs_train,coco_train_000000555535,median_cut,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs_train,coco_train_000000555535,kmeans_rgb,5,10,0.4,0.4,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000555535,kmeans_lab,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000555915,dsp,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs_train,coco_train_000000555915,median_cut,5,10,0.3,0.3,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs_train,coco_train_000000555915,kmeans_rgb,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs_train,coco_train_000000555915,kmeans_lab,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,0.2,0.0,False,
ablation,photographs,coco_000000005060,ablation_score_only,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000005060,ablation_score_constraint,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000005060,ablation_full_dsp,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000005060,ablation_freq_only,5,10,0.4,0.4,0.0,0,False,unchanged,0.1,,,False,
ablation,photographs,coco_000000005060,ablation_dist_only,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000005060,kmeans_lab_constrained,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000007281,ablation_score_only,5,10,0.2,0.2,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000007281,ablation_score_constraint,5,10,0.2,0.2,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000007281,ablation_full_dsp,5,10,0.2,0.2,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000007281,ablation_freq_only,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000007281,ablation_dist_only,5,10,0.2,0.2,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000007281,kmeans_lab_constrained,5,10,0.2,0.2,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000008277,ablation_score_only,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000008277,ablation_score_constraint,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000008277,ablation_full_dsp,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000008277,ablation_freq_only,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,,,False,
ablation,photographs,coco_000000008277,ablation_dist_only,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000008277,kmeans_lab_constrained,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000021465,ablation_score_only,5,10,0.5,0.5,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000021465,ablation_score_constraint,5,10,0.5,0.5,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000021465,ablation_full_dsp,5,10,0.5,0.5,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000021465,ablation_freq_only,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000021465,ablation_dist_only,5,10,0.5,0.5,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000021465,kmeans_lab_constrained,5,10,0.3,0.3,0.0,0,False,unchanged,0.0,,,False,
ablation,photographs,coco_000000028449,ablation_score_only,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000028449,ablation_score_constraint,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000028449,ablation_full_dsp,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000028449,ablation_freq_only,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,,,False,
ablation,photographs,coco_000000028449,ablation_dist_only,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000028449,kmeans_lab_constrained,5,10,0.2,0.2,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000033854,ablation_score_only,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000033854,ablation_score_constraint,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000033854,ablation_full_dsp,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000033854,ablation_freq_only,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000033854,ablation_dist_only,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000033854,kmeans_lab_constrained,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000035279,ablation_score_only,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000035279,ablation_score_constraint,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000035279,ablation_full_dsp,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000035279,ablation_freq_only,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000035279,ablation_dist_only,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000035279,kmeans_lab_constrained,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000069106,ablation_score_only,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000069106,ablation_score_constraint,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000069106,ablation_full_dsp,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,,,False,
ablation,photographs,coco_000000069106,ablation_freq_only,5,10,0.1,0.1,0.0,0,False,unchanged,0.0,,,False,
