method,metric,mean,std,median,n
ablation_score_only,min_pairwise_de2000,25.092574773061557,5.418134819804357,25.00710208131956,75
ablation_score_only,wcag_aa_coverage,0.3306666666666666,0.09000500486584566,0.3,75
ablation_score_only,reconstruction_error_de2000,9.742242425326467,3.409258628056323,9.721313096292599,75
ablation_score_only,harmony_alignment,0.4624508567691778,0.1539800599318373,0.48177513145389766,75
ablation_score_constraint,min_pairwise_de2000,25.092574773061557,5.418134819804357,25.00710208131956,75
ablation_score_constraint,wcag_aa_coverage,0.3306666666666666,0.09000500486584566,0.3,75
ablation_score_constraint,reconstruction_error_de2000,9.742242425326467,3.409258628056323,9.721313096292599,75
ablation_score_constraint,harmony_alignment,0.4624508567691778,0.1539800599318373,0.48177513145389766,75
ablation_full_dsp,min_pairwise_de2000,24.920658883079582,5.64232523943729,25.00710208131956,75
ablation_full_dsp,wcag_aa_coverage,0.3306666666666666,0.09000500486584566,0.3,75
ablation_full_dsp,reconstruction_error_de2000,9.782774592879372,3.428184886956287,9.721313096292599,75
ablation_full_dsp,harmony_alignment,0.46201323007098616,0.15329434935100034,0.48177513145389766,75
ablation_freq_only,min_pairwise_de2000,13.32469177695309,3.2584630464038167,12.147442060431521,75
ablation_freq_only,wcag_aa_coverage,0.2853333333333334,0.12268762061533452,0.3,75
ablation_freq_only,reconstruction_error_de2000,8.067001437699508,3.0916853399860056,7.461981423599857,75
ablation_freq_only,harmony_alignment,0.4481717772139688,0.17469504976694564,0.4700134413557196,75
ablation_dist_only,min_pairwise_de2000,24.889786841865718,5.669833849604334,24.92118219960833,75
ablation_dist_only,wcag_aa_coverage,0.32933333333333326,0.09411512980205498,0.3,75
ablation_dist_only,reconstruction_error_de2000,9.774338521866516,3.34803759769124,9.5994466092495,75
ablation_dist_only,harmony_alignment,0.4616788915756805,0.1444748046935048,0.47851225299922584,75
kmeans_lab_constrained,min_pairwise_de2000,22.906164144002652,5.343373455043744,23.435052812797885,75
kmeans_lab_constrained,wcag_aa_coverage,0.29066666666666674,0.10023396054654754,0.3,75
kmeans_lab_constrained,reconstruction_error_de2000,8.560087070573797,2.8080243748885274,8.521505388495678,75
kmeans_lab_constrained,harmony_alignment,0.43611461085085845,0.16971544354025186,0.4491062288654142,75
